titile,price_c,price_d
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080),20GB, 256GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493123",*  30250.5 ⊆   *,335 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 1TB + 256GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374325",*  30972.9 ⊆   *,343 $
"Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 (3.00-4.10Ghz), 4GB, 128GB SSD, 14” (1920X1080), UHD Graphics, WiFi, BT, Win11 Homes, Platinum Grey [81X700FGUS](*id 12) https://www.link.kg/catalog/1/41493170",*  30431.1 ⊆   *,337 $
"Ноутбук Lenovo V15 G2 ITL Intel Core i3-1115G4 (up to 4.1Ghz), 4GB, 1TB HDD, Intel UHD Graphics, 15.6"" FULL HD, WiFi, BT, LAN RJ45, DOS, черный [82KB0021AK](*id 12) https://www.link.kg/catalog/1/41493356",*  30521.4 ⊆   *,338 $
"Ноутбук ASUS-X543M, Intel N4020, DDR4 4GB, SSD-480GB, 15.6"", DVDRW, 1B-Star Grey, Rus+Eng https://www.link.kg/catalog/1/41483610",*  32508 ⊆   *,360 $
"новая позиция3Acer Aspire 3 A315-56 i3-1005G1 1.2-3.4GHz,8GB,SSD 512GB, 15.6""FHD LED ,RUS,BLACK (12мес) https://www.link.kg/catalog/1/41503254",*  30611.7 ⊆   *,339 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 500GB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374349",*  31153.5 ⊆   *,345 $
"Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 1TB SSD, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREY https://www.link.kg/catalog/1/41488276",*  32056.5 ⊆   *,355 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 12GB, 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374368",*  31153.5 ⊆   *,345 $
"ASUS VivoBook X515FA-EJ185W 15.6"" FHD i3-10110U 2.1-4.1GHz,4GB,SSD 240GB,RUS,SILVER https://www.link.kg/catalog/1/41503163",*  30702 ⊆   *,340 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 512GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374238",*  31243.8 ⊆   *,346 $
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 128GB SSD, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, BLACK + сумка A https://www.link.kg/catalog/1/41488532",*  32146.8 ⊆   *,356 $
"Asus ExpertBooK P1412CEA Intel Core i3-1115G4 (up to 4.1Ghz), 14"" LED FULL HD (1920 x 1080), 4GB DDR4-3200Mhz, 120GB SSD, Intel UHD Graphics, WiFi 5, BT 4, USB Type-C, замок Kensington, Cam, Eng-Rus, SLATE GREY https://www.link.kg/catalog/1/41488508",*  32237.1 ⊆   *,357 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 8GB, 1TB +500GB SSD NVMe, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493156",*  30792.3 ⊆   *,341 $
"Acer Aspire 3 A315-56 i3-1005G1 1.2-3.4GHz,8GB, 1TB + SSD 256GB, 15.6""FHD LED ,RUS,BLACK (12мес) https://www.link.kg/catalog/1/41503256",*  30882.6 ⊆   *,342 $
"Ноутбук Lenovo IdeaPad 3 14IIL05 Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 256GB SSD m.2 NVMe, Intel UHD Graphics, 14 ""FHD (1920x1080) IPS, WiFi ac, BT 5.0, CR, WC, Win 11 ENG Home in S mode, Eng-Ru, Platinum Grey [81WD010UUS](*id 12) https://www.link.kg/catalog/1/41493183",*  30882.6 ⊆   *,342 $
"Ноутбук Acer Aspire Black Intel Core i3-1005G1 (up to 3.4Ghz), 8GB, 500GB M.2 NVMe PCIe, Intel HD Graphics 620, 15.6"" FULL HD (1920x1080), WiFi, BT, Cam, LAN, DOS, Eng-Rus(*id 12) https://www.link.kg/catalog/1/41493291",*  31063.2 ⊆   *,344 $
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 4GB, 128GB SSD, Intel UHD Graphics Xe G4 48EUs, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus https://www.link.kg/catalog/1/41374199",*  31605 ⊆   *,350 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 500GB + 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374335",*  31695.3 ⊆   *,351 $
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 256GB SSD PCIe NVMe M.2, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, B https://www.link.kg/catalog/1/41488529",*  32598.3 ⊆   *,361 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 12GB, 1TB +500GB SSD NVMe, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493164",*  31243.8 ⊆   *,346 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 8GB, 1TB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493149",*  31243.8 ⊆   *,346 $
"ASUS VivoBook X515FA-EJ186W 15.6"" FHD i3-10110U 2.1-4.1GHz,8GB,SSD 240GB,RUS,SLATE GRAY https://www.link.kg/catalog/1/41503155",*  31334.1 ⊆   *,347 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 1TB + 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374336",*  31875.9 ⊆   *,353 $
"Ноутбук Lenovo V15 G2 ITL Intel Core i3-1115G4 (up to 4.1Ghz), 8GB, 256GB SSD, Intel UHD Graphics, 15.6"" FULL HD TN, WiFi, BT, LAN RJ45, DOS, Eng+Rus, черный [82KB0021AK](*id 12) https://www.link.kg/catalog/1/41493350",*  31334.1 ⊆   *,347 $
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 8GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375130",*  32056.5 ⊆   *,355 $
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 4GB, 1TB, Intel UHD Graphics Xe G4 48EUs, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus https://www.link.kg/catalog/1/41374198",*  32056.5 ⊆   *,355 $
"Ноутбук Acer Aspire Black Intel Core i3-1005G1 (up to 3.4Ghz), 12GB, 500GB M.2 NVMe PCIe, Intel HD Graphics 620, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus(*id 12) https://www.link.kg/catalog/1/41493296",*  31605 ⊆   *,350 $
"Ноутбук Asus VivoBook M415DA-R3128 AMD Ryzen 3 3250U (2.6GHz-3.5GHz), 8GB DDR4, 128GB SSD PCIe NVMe, AMD Radeon Vega 3 Graphics, 14"" HD LED, WiFi, BT, Cam, (Eng+Rus), Win11 Home, серый[M415DA-R3128](*id 12) https://www.link.kg/catalog/1/41493400",*  31695.3 ⊆   *,351 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 12GB, 1TB + 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374356",*  32237.1 ⊆   *,357 $
"Ноутбук Lenovo V15 G2 ITL Intel Core i3-1115G4 (up to 4.1Ghz), 12GB, 256GB SSD, Intel UHD Graphics, 15.6"" FULL HD TN, WiFi, BT, LAN RJ45, DOS, Eng+Rus, черный [82KB0021AK](*id 12) https://www.link.kg/catalog/1/41493368",*  31785.6 ⊆   *,352 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 12GB, 1TB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493163",*  31785.6 ⊆   *,352 $
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 12GB, 128GB SSD, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, BLACK + сумка https://www.link.kg/catalog/1/41488535",*  33320.7 ⊆   *,369 $
"Asus ExpertBooK P1412CEA Intel Core i3-1115G4 (up to 4.1Ghz), 14"" LED FULL HD (1920 x 1080), 8GB DDR4-3200Mhz, 1TB, Intel UHD Graphics, WiFi 5, BT 4, USB Type-C, замок Kensington, Cam, Eng-Rus, SLATE GREY https://www.link.kg/catalog/1/41488512",*  33411 ⊆   *,370 $
"Ноутбук Lenovo IdeaPad 3 14IIL05 Intel Core i3-1005G1 (1.20-3.40GHz), 8GB DDR4, 256GB SSD m.2 NVMe, Intel UHD Graphics, 14 ""FHD (1920x1080) IPS, WiFi ac, BT 5.0, CR, WC, Win 11 ENG Home in S mode, Eng-Ru, Platinum Grey [81WD010UUS](*id 12) https://www.link.kg/catalog/1/41493179",*  31966.2 ⊆   *,354 $
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel UHD Graphics Xe G4 48EUs, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus https://www.link.kg/catalog/1/41374200",*  32508 ⊆   *,360 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 12GB, 256GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374329",*  32598.3 ⊆   *,361 $
"Ноутбук Asus VivoBook 14 (X413JA-211.VBWB) 14"" FHD WVA(IPS), i3-1005G1 (1.2GHz-3.4GHz), 4GB DDR4, 128GB SSD NVMe+ 256GB SSD m.2 NVMe, UHD Graphics G1, USB-C, WiFiac, BT, HDWC, (Eng+Rus), Win10 Home, Dreamy White(*id 12) https://www.link.kg/catalog/1/41493275",*  32056.5 ⊆   *,355 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz,4GB, 1TB, 15.6""FHD RUS, HDMI, PLATINUM GRAY https://www.link.kg/catalog/1/41503206",*  32146.8 ⊆   *,356 $
"Lenovo IdeaPad L3 A41TUN ATHLON 300U 2.4-3.3GHz,4GB,500GB, 15.6""FHD RUS BLACK ( СЦ) https://www.link.kg/catalog/1/41503232",*  32146.8 ⊆   *,356 $
"Ноутбук ASUS-X515J, i3-1005G1, DDR4 8GB, SSD-240GB, NO DVDRW, 15.6"", Rus+Eng https://www.link.kg/catalog/1/41483602",*  34133.4 ⊆   *,378 $
"Ноутбук Acer Aspire A3 Intel Core i3-1005G1 (1.20-3.40GHz), 20GB DDR4, 1TB HDD, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, LAN, DOS, голубой [NX.KAFEM.004](*id 12) https://www.link.kg/catalog/1/41493304",*  32237.1 ⊆   *,357 $
"Ноутбук Asus VivoBook M415DA-R3128 AMD Ryzen 3 3250U (2.6GHz-3.5GHz), 8GB DDR4, 256GB SSD PCIe NVMe, AMD Radeon Vega 3 Graphics, 14"" HD LED, WiFi, BT, Cam, (Eng+Rus), Win11 Home, серый[M415DA-R3128](*id 12) https://www.link.kg/catalog/1/41493399",*  32237.1 ⊆   *,357 $
"Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 (3.00-4.10Ghz), 8GB, 128GB SSD NVMe, 14” FULL HDLED UHD Graphics, WiFi, BT, WinEn11 Homes, серебристый, Eng-Rus 81X700FGUS(*id 12) https://www.link.kg/catalog/1/41493169",*  32327.4 ⊆   *,358 $
"Lenovo Ideapad S145-15AST Black A6-9225 (up to 3.00Ghz), 4GB DDR4, 1TB, AMD Radeon R7 M445 2GB, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374231",*  33411 ⊆   *,370 $
"Lenovo IdeaPad L3 A41TUN ATHLON 300U 2.4-3.3GHz,4GB,1TB, 15.6""FHD RUS BLACK ( СЦ) https://www.link.kg/catalog/1/41503224",*  32778.9 ⊆   *,363 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 12GB, 512GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374361",*  33411 ⊆   *,370 $
"Lenovo Ideapad S145-15AST Black A6-9225 (up to 3.00Ghz), 4GB DDR4, 128GB M.2 NVMe PCIe, AMD Radeon R7 M445 2GB, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374211",*  33411 ⊆   *,370 $
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 512GB SSD PCIe NVMe M.2, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, B https://www.link.kg/catalog/1/41488528",*  34855.8 ⊆   *,386 $
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 8GB, 1TB, Intel UHD Graphics Xe G4 48EUs, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus https://www.link.kg/catalog/1/41374192",*  33501.3 ⊆   *,371 $
"Ноутбук Acer Aspire A3 Intel Core i3-1005G1 (1.20-3.40GHz), 12GB DDR4, 256GB SSD m.2 NVMe+1TB HDD, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, LAN, DOS, голубой [NX.KAFEM.004](*id 12) https://www.link.kg/catalog/1/41493305",*  32959.5 ⊆   *,365 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 12GB, 1TB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374351",*  33591.6 ⊆   *,372 $
"Ноутбук ASUS-X515J, i3-1005G1, DDR4 8GB, SSD-256GB, NO DVDRW, 15.6"", Rus+Eng https://www.link.kg/catalog/1/41483603",*  35487.9 ⊆   *,393 $
"Ноутбук Lenovo V15 G2 ITL Intel Core i3-1115G4 (up to 4.1Ghz), 12GB, 500GB SSD, Intel UHD Graphics, 15.6"" FULL HD TN, WiFi, BT, LAN RJ45, DOS, Eng+Rus, черный [82KB0021AK](*id 12) https://www.link.kg/catalog/1/41493367",*  33049.8 ⊆   *,366 $
"Ноутбук Lenovo IdeaPad 3 14IIL05 Intel Core i3-1005G1 (1.20-3.40GHz), 12GB DDR4, 256GB SSD m.2 NVMe, Intel UHD Graphics, 14 ""FHD (1920x1080) IPS, WiFi ac, BT 5.0, CR, WC, Win 11 ENG Home in S mode, Eng-Ru, Platinum Grey [81WD010UUS](*id 12) https://www.link.kg/catalog/1/41493186",*  33049.8 ⊆   *,366 $
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 16GB, 1TB, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, BLACK + сумка Asus в https://www.link.kg/catalog/1/41488533",*  35126.7 ⊆   *,389 $
"Ноутбук Lenovo V15 G2 ITL Intel Core i3-1115G4 (up to 4.1Ghz), 8GB, 1TB HDD+256GB SSD m.2 NVMe, Intel UHD Graphics, 15.6"" FULL HD TN, WiFi, BT, LAN RJ45, DOS, Eng+Rus, черный [82KB0021AK](*id 12) https://www.link.kg/catalog/1/41493354",*  33140.1 ⊆   *,367 $
"новая позиция5Acer Aspire 3 A315-59 i3-1215U 1.2-4.4GHz,4GB,SSD 256GB,15.6""FHD IPS RUS MOONSTONE PURPLE (12 СЦ) https://www.link.kg/catalog/1/41503253",*  33230.4 ⊆   *,368 $
"HP 250 G7 Dark Ash Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB M.2 NVMe PCIe, Intel® UHD Graphics 605, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374320",*  33862.5 ⊆   *,375 $
"новая позиция4Acer Aspire 3 A315-59 i3-1215U 1.2-4.4GHz, 4GB,SSD 256GB,15.6""FHD IPS RUS SILVER (12 СЦ) https://www.link.kg/catalog/1/41503252",*  33230.4 ⊆   *,368 $
"Asus ExpertBooK P1412CEA Intel Core i3-1115G4 (up to 4.1Ghz), 14"" LED FULL HD (1920 x 1080), 12GB DDR4-3200Mhz, 1TB, Intel UHD Graphics, WiFi 5, BT 4, USB Type-C, замок Kensington, Cam, Eng-Rus, SLATE GREY https://www.link.kg/catalog/1/41488513",*  35217 ⊆   *,390 $
"Asus ExpertBooK P1412CEA Intel Core i3-1115G4 (up to 4.1Ghz), 14"" LED FULL HD (1920 x 1080), 12GB DDR4-3200Mhz, 120GB SSD, Intel UHD Graphics, WiFi 5, BT 4, USB Type-C, замок Kensington, Cam, Eng-Rus, SLATE GREY https://www.link.kg/catalog/1/41488502",*  35217 ⊆   *,390 $
"новая позиция1Ноутбук Asus X515EA Intel Core i3-1115G4 (up to 4.1Ghz), 15.6"" FULL HD, 4GB, 256GB SDD m.2 NVMe, Intel Iris Graphics Xe G7, WiFi 6, BT 5.2, Cam, DOS, серебро[90NB0TY2-M03PT0](*id 12) https://www.link.kg/catalog/1/41493238",*  33230.4 ⊆   *,368 $
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 4GB, 500GB + 256GB M.2 NVMe PCIe, Intel UHD Graphics Xe G4 48EUs, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus https://www.link.kg/catalog/1/41374189",*  33862.5 ⊆   *,375 $
"Lenovo V15 GEN2 ITL Black Intel Core i3-1115G4 (up to 4.1Ghz), 4GB, 128GB SSD, Intel UHD Graphics Xe G4 48EUs, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus + BAG (сумка в комплекте) https://www.link.kg/catalog/1/41374066",*  33862.5 ⊆   *,375 $
"Ноутбук Lenovo V15 G2 ITL Intel Core i3-1115G4 (up to 4.1Ghz), 20GB, 256GB SSD, Intel UHD Graphics, 15.6"" FULL HD TN, WiFi, BT, LAN RJ45, DOS, Eng+Rus, черный [82KB0021AK](*id 12) https://www.link.kg/catalog/1/41493358",*  33320.7 ⊆   *,369 $
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 8GB, 256GB M.2 NVMe PCIe, Intel UHD Graphics Xe G4 48EUs, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus https://www.link.kg/catalog/1/41374203",*  33952.8 ⊆   *,376 $
"Lenovo Ideapad L3-15ITL6 Platinum Grey Intel Pentium Gold 7505 (1.8Ghz), 4GB, 1TB + 128GB M.2 NVMe PCIe, Intel UHD Graphics Xe G4 48EUs, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus https://www.link.kg/catalog/1/41374184",*  33952.8 ⊆   *,376 $
"новая позиция4Asus ExpertBooK P1412CEA Intel Core i3-1115G4 (up to 4.1Ghz), 14"" LED FULL HD (1920 x 1080), 4GB DDR4-3200Mhz, 512GB SSD, Intel UHD Graphics, WiFi 5, BT 4, USB Type-C, замок Kensington, Cam, Eng-Rus, SLATE GREY https://www.link.kg/catalog/1/41488500",*  35397.6 ⊆   *,392 $
"ASUS VivoBook F415E-AS31 Intel Core i3-1115G4 (up to 4.1GHz), 14"" LED FULL HD IPS (1920 x 1080), 4GB, 1TB, Intel UHD Graphics, WiFi 5, BT 4.1, Fingerprint Scaner (Сканер отпечатка пальцев), USB-C, Backlight Chiclet Eng Keyboard, Eng-Rus, SLATE GREY https://www.link.kg/catalog/1/41488474",*  35397.6 ⊆   *,392 $
"Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 (3.00-4.10Ghz), 8GB, 256GB SSD NVMe, 14” FULL HDLED UHD Graphics, WiFi, BT, WinEn11 Homes, серебристый, Eng-Rus 81X700FGUS(*id 12) https://www.link.kg/catalog/1/41493167",*  33501.3 ⊆   *,371 $
"Ноутбук Lenovo V15 G2 Intel Core i3-1115G4 (up to 4.1Ghz), 8GB, 256GB SSD m.2 NVMe, Intel HD Graphics 620, 15.6"" FULL HD, WiFi, BT, Cam, USB Type-C, LAN RJ45, DOS, Eng-Rus, черный, Bag [82KB00Y8AK](*id 12) https://www.link.kg/catalog/1/41493860",*  33501.3 ⊆   *,371 $
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 1TB + 256GB SSD PCIe NVMe M.2, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng- https://www.link.kg/catalog/1/41488520",*  35487.9 ⊆   *,393 $
"Lenovo V15 GEN2 ITL Black Intel Core i3-1115G4 (up to 4.1Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel UHD Graphics Xe G4 48EUs, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus + BAG (сумка в комплекте) https://www.link.kg/catalog/1/41374062",*  34133.4 ⊆   *,378 $
"Ноутбук Asus VivoBook 14 (X413JA-211.VBWB) 14"" FHD WVA(IPS), i3-1005G1 (1.2GHz-3.4GHz), 4GB DDR4, 128GB SSD NVMe+ 500GB SSD m.2 NVMe, UHD Graphics G1, USB-C, WiFiac, BT, HDWC, (Eng+Rus), Win10 Home, Dreamy White(*id 12) https://www.link.kg/catalog/1/41493274",*  33591.6 ⊆   *,372 $
"ASUS VivoBook X515FA-EJ186W 15.6"" FHD i3-10110U 2.1-4.1GHz,8GB,1TB+SSD 256GB, WIN11,RUS,SLATE GRAY https://www.link.kg/catalog/1/41503156",*  33681.9 ⊆   *,373 $
"HP 250 G7 Dark Ash Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 256GB M.2 NVMe PCIe, Intel® UHD Graphics 605, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374313",*  34314 ⊆   *,380 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 16GB, 256GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374331",*  34404.3 ⊆   *,381 $
"Ноутбук Acer Aspire Black i3-1005G1 (up to 3.4Ghz), 8GB, 1000GB M.2 NVMe PCIe, Intel HD Graphics 620, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, LAN RJ45, DOS, Eng-Rus(*id 12) https://www.link.kg/catalog/1/41493298",*  33862.5 ⊆   *,375 $
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 16GB, 256GB SSD PCIe NVMe M.2, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, https://www.link.kg/catalog/1/41488526",*  35849.1 ⊆   *,397 $
